main_category,subcategory,master_name,review_amount,rating,size,details,True to size (size_ag),Too Big (size_ag),Small (size_ag),Too Small (size_ag),Not specified (size_ag),Big (size_ag),Not specified (experience),Quality (experience),Stylish (experience),Comfortable (experience),Verified Buyer,Verified Reviewer,Unverified
Woman's,Womens-wedges,Cercei,0,,,4.75 inch heel height; 1.5 inch platform; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Cozette,4,4.8,Big,4.25 inch heel height; 1.5 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0
Woman's,Womens-wedges,Locket,47,4.9,True to size,Espadrille platform wedge sandal; Wrapped ankle ties; Raffia braid wrapped platform wedge sole; Closed toe; 4.75 inch heel height; 1.5 inch platform; Textile upper material; Vegan leather lining; Vegan leather sock; Synthetic sole; Imported,33.0,8.0,1.0,0.0,5.0,0.0,46.0,1.0,1.0,1.0,40.0,2.0,5.0
Woman's,Womens-wedges,Vista,7,4.3,True to size,4.25 inch heel height; 1.5 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,4.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0
Woman's,Womens-wedges,Appa,0,,,3 inch heel height; Vegan leather upper material; Vegan leather lining; Vegan leather sock; Synthetic sole; Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Galaxy,6,4.8,Small,"5.25 inch heel height; 2 inch platform; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",1.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0
Woman's,Womens-wedges,Curcio,2,5.0,Big,3 inch heel height; Vegan leather upper material; Vegan leather lining; Vegan leather sock; Synthetic sole; Imported,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Woman's,Womens-wedges,Cabernet,0,,,"4 inch heel height; 1.75 inch platform; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Jovie,0,,,"5 inch heel height; 2 inch platform; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman's,Womens-wedges,Antique,21,4.8,Big,Platform wedge slide sandals; Platform wedge slide sandals; Slip-on style; 2 strap slide design with buckle accent on top strap; Raffia wrapped square toe platform wedge sole; 4.5 inch heel height; 1 inch platform; Synthetic raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,10.0,5.0,0.0,0.0,4.0,2.0,21.0,0.0,0.0,0.0,20.0,0.0,1.0
Woman's,Womens-slip-on-slides,Slinky30,676,4.3,Small,"2.25 inch heel height; 1.25 inch platform; Textile upper material; Synthetic lining; Vegan leather sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",50.0,3.0,24.0,17.0,10.0,4.0,102.0,2.0,5.0,6.0,105.0,1.0,2.0
Woman's,Womens-slip-on-slides,Lumina,8,4.9,Big,".5 inch heel height; Suede; Textile lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",3.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,3.0,7.0,0.0,1.0
Woman's,Womens-slip-on-slides,Bigschmonj,17,4.4,True to size,"2 inch heel height; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",8.0,3.0,0.0,1.0,2.0,3.0,4.0,8.0,9.0,11.0,15.0,2.0,0.0
Woman's,Womens-slip-on-slides,Kaya,57,4.5,True to size,"Slide sandal; Slip-on style; .5 inch heel height; Leather upper material; Synthetic lining; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",34.0,7.0,2.0,1.0,6.0,4.0,53.0,0.0,1.0,0.0,53.0,0.0,1.0
Woman's,Womens-slip-on-slides,Mayven,359,4.0,True to size,"Suede flatform slide; Slip-on style with adjustable top strap; Cutout details on wide front strap; Hook-and-loop adjustable top strap; Molded footbed; 1.25 inch heel height; Suede and leather upper mateiral; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: runs small, size up a half size; Imported",55.0,14.0,15.0,8.0,12.0,4.0,85.0,10.0,18.0,15.0,95.0,5.0,8.0
Woman's,Womens-slip-on-slides,Bigschmona,40,4.5,True to size,"2 inch heel height; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",21.0,7.0,6.0,2.0,3.0,1.0,30.0,6.0,10.0,8.0,37.0,0.0,3.0
Woman's,Womens-slip-on-slides,Dipsy,7,3.7,Small,".5 inch heel height; Raffia upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,2.0,6.0,0.0,1.0
Woman's,Womens-slip-on-slides,Jellie,26,4.1,Small,".5 inch heel height; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",2.0,1.0,12.0,8.0,3.0,0.0,21.0,2.0,5.0,0.0,20.0,2.0,4.0
